user id,Week number,Post_fat_pct,Post_muscle_kg,Post_weight_kg,daily_avg_kcal,sleep_avg_hours,free_text_feedback,notes
P01,Week_2025_46,15.93,28.07,65.65,2978.3,7.05,"This week felt optimistic. With mostly consistent adherence (~2978 kcal/day), I completed 4 sessions (e.g., W25, W21, W25). Short sessions and supersets helped the schedule. I noticed promising changes in joint comfort. Given my goal, I tried to push progressive overload and protein timing. Average sleep was ~7.0 h; training quality tracked well with meal timing and hydration.",Add a 20–30 g protein snack post-workout and a slow-digesting protein near bedtime. Insert a 10–15 min mobility block on rest days to keep joints happy. Aim for a consistent lights-out routine to push sleep toward 7–8 h. Keep meals simple; adjust seasoning and veggies for variety. Keep recipes under 5 steps; reuse the same spice mix to reduce friction. Do a quick 5-min walk after larger meals.
P01,Week_2025_47,15.97,28.18,65.85,2111.2,7.27,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Margoog (light) + salad' and 'Thareed (lean beef + veg)' sat well; Removing frictions improved follow-through. I saw clear changes in motivation. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1896 kcal/day, prep breakfast the night before, and aim for consistent 7.0 h sleep."
P01,Week_2025_48,16.03,28.3,66.12,2370,7.53,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Chicken Kabsa (lean rice)' and 'Jareesh with laban' sat well; Removing frictions improved follow-through. I saw promising changes in joint comfort. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2108 kcal/day, lighten late snacks, and aim for consistent 7.3 h sleep."
P01,Week_2025_49,16.07,28.43,66.3,2315.4,7.61,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Grilled Hammour + rice + salad' and 'Labneh + cucumbers + olives + bread' sat well; Removing frictions improved follow-through. I saw mixed changes in sleep. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2104 kcal/day, warm shoulders/hips before heavy sets, and aim for consistent 7.5 h sleep."
P01,Week_2025_50,16.11,28.52,66.49,2149.3,7.78,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Masoub (banana+dates+milk)' and 'Chicken Kabsa (lean rice)' sat well; Removing frictions improved follow-through. I saw promising changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1960 kcal/day, prep breakfast the night before, and aim for consistent 7.6 h sleep."
P01,Week_2025_51,16.16,28.64,66.75,2132.6,7.88,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Margoog (light) + salad' and 'Thareed (lean beef + veg)' sat well; Removing frictions improved follow-through. I saw mixed changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1956 kcal/day, 5-min post-meal walks, and aim for consistent 7.8 h sleep."
P01,Week_2025_52,16.21,28.72,67,2382,7.91,"Felt resilient this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Labneh + cucumbers + olives + bread' and 'Tuna salad + lemon + olive oil' sat well; Removing frictions improved follow-through. I saw promising changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2120 kcal/day, warm shoulders/hips before heavy sets, and aim for consistent 7.9 h sleep."
P01,Week_2026_01,16.24,28.86,67.14,2246.7,7.79,"Felt optimistic this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Balila cup (chickpeas)' and 'Grilled Hammour + rice + salad' sat well; Removing frictions improved follow-through. I saw clear changes in digestion. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2039 kcal/day, swap one rice meal for jareesh mid-week, and aim for consistent 7.9 h sleep."
P01,Week_2026_02,16.27,28.95,67.3,2133.6,7.89,"Felt energized this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Ful medames + tamees' and 'Balila cup (chickpeas)' sat well; Removing frictions improved follow-through. I saw noticeable changes in energy. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1950 kcal/day, prep breakfast the night before, and aim for consistent 7.8 h sleep."
P01,Week_2026_03,16.32,29.03,67.53,2300.5,8.03,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W21. Meals like 'Labneh + cucumbers + olives + bread' and 'Tuna salad + lemon + olive oil' sat well; Removing frictions improved follow-through. I saw gradual changes in sleep. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2057 kcal/day, warm shoulders/hips before heavy sets, and aim for consistent 7.9 h sleep."
P01,Week_2026_04,16.36,29.11,67.71,2109.7,8.15,"Felt steady this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Balila cup (chickpeas)' and 'Grilled Hammour + rice + salad' sat well; Removing frictions improved follow-through. I saw promising changes in motivation. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~1963 kcal/day, front-load protein earlier, and aim for consistent 8.0 h sleep."
P01,Week_2026_05,16.41,29.26,67.97,2334.1,8.09,"Felt disciplined this week. With mostly consistent adherence, I completed sessions incl. W25. Meals like 'Labneh + cucumbers + olives + bread' and 'Tuna salad + lemon + olive oil' sat well; Removing frictions improved follow-through. I saw clear changes in recovery. For my goal, I prioritized progressive overload + protein timing. Budget=medium, cooking=beginner.","Next week: keep ~2163 kcal/day, front-load protein earlier, and aim for consistent 8.2 h sleep."
