user id,Week number,1st_meal,1st_meal_carbs_g,1st_meal_fat_g,1st_meal_protein_g,1st_meal_sodium_mg,1st_meal_fiber_g,1st_meal_kcal_target_kcal,2nd_meal,2nd_meal_carbs_g,2nd_meal_fat_g,2nd_meal_protein_g,2nd_meal_sodium_mg,2nd_meal_fiber_g,2nd_meal_kcal_target_kcal,3rd_meal,3rd_meal_carbs_g,3rd_meal_fat_g,3rd_meal_protein_g,3rd_meal_sodium_mg,3rd_meal_fiber_g,3rd_meal_kcal_target_kcal,4th_meal,4th_meal_carbs_g,4th_meal_fat_g,4th_meal_protein_g,4th_meal_sodium_mg,4th_meal_fiber_g,4th_meal_kcal_target_kcal,Total_carbs_g,Total_fat_g,Total_protein_g,Total_sodium_mg,Total_fiber_g,Total_kcal_target_kcal,BMI,Cook,Note
P01,Week_2025_46,"07:30–09:30 — Breakfast: markook (92 g), scrambled eggs (91 g), dates (83 g), black tea (209 ml)",112.2,12.2,21.3,489.7,9.4,643.8,"12:30–14:30 — Lunch: kabsa (313 g) + white fish (187 g), roasted zucchini (144 g), Arabic coffee (171 ml)",103.1,12.8,63.0,1123.0,6.0,779.6,"17:00–18:30 — Snack: feta (91 g) with whole-wheat tamees (92 g), apple (82 g)",60.2,22.0,22.2,1406.6,7.5,527.6,"20:00–22:00 — Dinner: grilled white fish (186 g), carrot sticks (157 g), garlic sauce (28 g), pita (118 g)",83.4,18.3,61.5,915.7,7.6,744.3,358.9,65.3,168.0,3935.0,30.5,2695.3,Normal,beginner,"Persona P01: goal=muscle gain, level=Beginner, training=4, budget=. Approx daily energy target ≈ 2695 kcal. Hydrate well; prefer laban/water. Keep sodium moderate; adjust portions around training days."
P01,Week_2025_47,Margoog (light) + salad,36.4,9.8,19.7,227.8,10.9,504.7,Thareed (lean beef + veg),67.7,9.0,49.6,526.6,7.1,606.5,Harees (light) + salad,34.9,21.2,25.9,262.0,11.0,503.1,Egg shakshouka + bread,81.2,15.2,34.2,777.6,4.4,281.3,220.2,55.2,129.5,1794.0,33.4,1895.5,,,Fallback plan.
P01,Week_2025_48,Chicken Kabsa (lean rice),90.0,24.9,27.0,308.4,9.3,669.3,Jareesh with laban,69.3,15.7,46.2,669.0,11.1,266.3,Ful medames + tamees,55.9,17.2,33.2,435.9,6.5,563.6,Balila cup (chickpeas),30.8,9.6,23.0,811.7,8.6,608.8,246.0,67.4,129.3,2225.0,35.5,2107.9,,,Fallback plan.
P01,Week_2025_49,Grilled Hammour + rice + salad,37.2,18.6,31.2,687.8,9.1,665.8,Labneh + cucumbers + olives + bread,73.6,8.7,35.5,423.2,7.5,555.4,Tuna salad + lemon + olive oil,44.6,12.7,35.1,365.5,5.0,226.2,Margoog (light) + salad,93.0,25.1,29.1,512.5,3.9,656.5,248.4,65.2,130.9,1989.0,25.4,2103.9,,,Fallback plan.
P01,Week_2025_50,Masoub (banana+dates+milk),55.3,10.5,14.6,328.0,10.6,643.3,Chicken Kabsa (lean rice),81.6,9.6,50.3,1004.4,9.5,395.8,Jareesh with laban,28.7,21.3,41.0,440.3,2.6,519.9,Ful medames + tamees,76.5,14.7,15.8,504.2,7.0,401.0,242.1,56.1,121.7,2277.0,29.7,1960.0,,,Fallback plan.
P01,Week_2025_51,Margoog (light) + salad,64.6,7.7,10.7,534.8,7.2,290.0,Thareed (lean beef + veg),76.5,11.1,34.0,517.1,5.0,876.4,Harees (light) + salad,18.6,23.4,40.6,267.2,10.7,387.7,Egg shakshouka + bread,76.4,16.7,35.2,358.9,5.7,402.4,236.1,58.9,120.5,1678.0,28.5,1956.5,,,Fallback plan.
P01,Week_2025_52,Labneh + cucumbers + olives + bread,76.8,10.4,36.1,221.6,6.9,375.2,Tuna salad + lemon + olive oil,27.2,16.6,25.2,615.3,4.7,272.8,Margoog (light) + salad,86.9,19.2,44.6,600.4,11.4,912.8,Thareed (lean beef + veg),81.9,13.1,17.7,248.7,12.0,558.9,272.9,59.3,123.6,1686.0,35.1,2119.7,,,Fallback plan.
P01,Week_2026_01,Balila cup (chickpeas),54.0,19.3,15.6,309.5,6.1,712.2,Grilled Hammour + rice + salad,52.6,16.9,46.2,689.0,6.5,578.1,Labneh + cucumbers + olives + bread,90.8,15.6,32.3,208.4,9.0,302.4,Tuna salad + lemon + olive oil,56.8,7.1,28.9,707.1,8.5,446.4,254.2,58.9,123.0,1914.0,30.2,2039.1,,,Fallback plan.
P01,Week_2026_02,Ful medames + tamees,46.8,12.6,17.2,515.3,3.6,438.2,Balila cup (chickpeas),89.2,11.8,43.2,467.4,7.3,520.0,Grilled Hammour + rice + salad,34.2,14.0,19.4,269.7,9.5,502.8,Labneh + cucumbers + olives + bread,65.5,17.8,45.7,1059.6,7.7,489.3,235.7,56.2,125.4,2312.0,28.1,1950.3,,,Fallback plan.
P01,Week_2026_03,Labneh + cucumbers + olives + bread,84.6,16.4,40.6,278.6,6.2,657.8,Tuna salad + lemon + olive oil,41.8,7.8,26.7,672.6,9.0,428.1,Margoog (light) + salad,59.3,16.7,44.1,320.5,10.8,328.6,Thareed (lean beef + veg),56.8,21.6,19.5,706.3,5.7,642.5,242.6,62.5,131.0,1978.0,31.7,2057.0,,,Fallback plan.
