user id,Week number,Adherence_propensity,Age_band,BMI,Budjet_SAR_per_day,Cooking_skill,Current_fitness_level,Days_per_week,Primary_goal,Sex,Sleep_hours
P01,2025-W46,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.9
P01,2025-W47,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.84
P01,2025-W48,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.7
P01,2025-W49,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.7
P01,2025-W50,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.6
P01,2025-W51,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.5
P01,2025-W52,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.4
P01,2026-W01,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.3
P01,2026-W02,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.4
P01,2026-W03,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.3
P01,2026-W04,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.4
P01,2026-W05,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6.3
P01,2026-W06,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6
P01,2026-W07,0.75,18–29,,40,beginner,Beginner,4,muscle_gain,M,6
P01,2026-W08,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W09,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,6.93
P01,2026-W10,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,6.86
P01,2026-W11,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,6.9
P01,2026-W12,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7.1
P01,2026-W13,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W14,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W15,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7.1
P01,2026-W16,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W17,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W18,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W19,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W20,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7.2
P01,2026-W21,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7.1
P01,2026-W22,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W23,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
P01,2026-W24,0.75,18–29,Normal,40,beginner,Beginner,4,muscle_gain,M,7
