user id,Week number,1st_meal,1st_meal_carbs_g,1st_meal_fat_g,1st_meal_protein_g,1st_meal_fiber_g,1st_meal_sodium_mg,1st_meal_kcal_target_kcal,2nd_meal,2nd_meal_carbs_g,2nd_meal_fat_g,2nd_meal_protein_g,2nd_meal_fiber_g,2nd_meal_sodium_mg,2nd_meal_kcal_target_kcal,3rd_meal,3rd_meal_carbs_g,3rd_meal_fat_g,3rd_meal_protein_g,3rd_meal_fiber_g,3rd_meal_sodium_mg,3rd_meal_kcal_target_kcal,4th_meal,4th_meal_carbs_g,4th_meal_fat_g,4th_meal_protein_g,4th_meal_fiber_g,4th_meal_sodium_mg,4th_meal_kcal_target_kcal,Total_kcal_target_kcal,Total_carbs_g,Total_fat_g,Total_protein_g,Total_fiber_g,Total_sodium_mg,Note
P01,2025-W46,"2 large eggs shakshouka style (150g), 1 medium tamis bread (60g), 1 cup laban (240ml) - cook eggs in tomato sauce with onion and mild spices, serve with tamis and laban.",65,30,40,6,800,700,"150g plain labneh with 4 dates (24g) and 1 small cucumber sliced (100g) - mix labneh and dates, serve with cucumber as a light snack.",50,10,15,6,280,350,"200g chicken kabsa with 150g basmati rice and 100g mixed vegetables - slow cook chicken with spices and basmati, steam vegetables, combine for meal.",90,20,70,10,1200,900,"180g jareesh cooked with 50g lean beef, 1 cup laban (240ml), 50g sautéed spinach - simmer jareesh, cook beef, add spinach and laban for creaminess.",115,10,55,8,920,850,2800,320,70,180,30,3200,"Muscle gain plan for beginner male, moderate training 4 days/week, normal BMI, using simple, affordable Saudi foods."
P01,2025-W47,Foul Medames (200g) with 1 medium tamis bread (60g) and 1 tablespoon olive oil (15ml),64,24,20,15,900,540,"Sambusa (3 pieces, 150g) with minced beef and vegetables",55,35,25,4,800,600,Grilled Lamb Kabobs (150g) with 150g of spiced couscous and 100g of grilled vegetables,90,40,50,6,700,850,"Date and nut energy balls (3 pieces, 60g) and 1 cup of laban (240ml)",107,6,13,0,100,537,2527,316,70,158,25,2500,One-day meal plan focusing on muscle gain with Saudi cuisine.
P01,2025-W48,Moutabbal (150g) with 2 whole wheat pita (120g) - a smoky eggplant dip served with pita bread.,80,20,12,12,800,550,Grilled Fish (150g) with 100g quinoa and a side of grilled vegetables (100g) - seasoned and grilled fish served with quinoa.,90,15,40,8,600,600,Chicken Kabsa (200g) with 150g basmati rice and 100g mixed vegetables - spiced chicken served over rice.,90,30,50,5,700,800,Dates (50g) and 1 cup laban (240ml) - a sweet snack of dates paired with yogurt drink.,44,2,10,5,400,480,2430,304,67,153,30,2500,One-day meal plan focusing on muscle gain with Saudi cuisine.
P01,2025-W49,"Shakshuka (2 eggs, 150g tomatoes, 50g bell peppers) with 1 whole wheat khubz (60g)",55,25,20,6,400,500,Roasted Chicken Thigh (150g) with 100g of brown rice and 100g of steamed broccoli,80,30,50,10,500,700,Mandi Lamb (150g) with 150g basmati rice and a side of mixed salad (100g),100,40,50,8,600,800,Greek Yogurt (200g) with 30g walnuts and 10g honey,30,15,36,1,100,508,2508,313,70,156,25,1200,Breakfast with a focus on protein and carbs for energy.
P01,2025-W50,Oats with dates and almond milk,90,10,15,10,100,600,Chicken Shawarma wrap with garlic sauce and vegetables,70,30,40,5,900,700,Lentil soup with whole wheat bread,80,10,20,8,700,500,Grilled kebab with bulgur and salad,73,19,81,2,500,700,2501,313,69,156,25,2200,One-day meal plan featuring Saudi dishes to support muscle gain within budget.
P01,2025-W51,Foul Medames (200g) with 1 whole wheat khubz (60g) and a side of salad (50g),60,10,20,15,800,450,Labneh (150g) with 2 whole wheat pita (100g) and cucumber sticks (100g),50,15,15,5,600,400,Chicken Kabsa (150g) with 150g basmati rice and a side of mixed vegetables (100g),90,25,40,8,900,800,"Dates (50g) with 100g of mixed nuts (almonds, walnuts, pistachios)",108,19,10,2,800,818,2468,308,69,154,30,2100,One-day meal plan with Saudi dishes respecting budget and macros.
P01,2025-W52,"Shakshuka (2 eggs, tomatoes, bell peppers, onions) with whole wheat khubz (60g)",50,20,20,6,800,450,Hummus (100g) with carrot sticks (100g) and whole wheat pita (60g),45,15,10,8,400,350,Beef Kofta (150g) with 150g of brown rice and grilled vegetables (100g),85,25,40,5,600,700,Fruit salad (200g) with yogurt (150g) and a sprinkle of honey,70,5,15,6,200,450,2480,310,69,156,25,2000,Meal plan for muscle gain.
P01,2026-W01,Ful Medames (200g) with a side of pickled vegetables (50g) and 1 whole wheat khubz (60g),80,15,20,18,800,570,"Chicken Shawarma wrap (150g chicken, 1 whole wheat pita (60g), garlic sauce (20g), and mixed salad (100g))",75,25,40,8,900,650,Lentil Soup (300g) with 2 slices of whole wheat bread (50g) and a side of green salad (100g),80,10,25,10,600,550,Grilled Lamb Kabobs (150g) with a side of roasted vegetables (100g) and 150g of couscous,80,20,45,4,700,747,2517,315,70,157,30,2000,One-day meal plan focusing on muscle gain with Saudi dishes.
P01,2026-W02,Foul Medames (200g) with olive oil (10g) and a side of whole wheat khubz (60g),80,20,20,15,800,550,"Chicken Kabsa (150g chicken, 200g rice, and mixed vegetables)",100,30,40,6,900,800,Grilled Shrimp (150g) with a side of tabbouleh (100g),60,15,35,5,600,500,Date smoothie (200ml with 4 dates and 150g yogurt),50,9,12,4,200,318,2668,333,74,167,30,3000,One-day meal plan for muscle gain with Saudi dishes.
P01,2026-W03,"Shakshuka (2 eggs, 150g tomatoes, 30g bell peppers, 10g olive oil) with 1 whole wheat khubz (60g)",45,30,18,6,800,460,Peanut butter (20g) on 1 whole wheat toast (30g) with banana (100g),40,15,8,4,5,300,"Mandi with 150g chicken, 200g rice, and 100g mixed vegetables",130,20,50,7,1000,900,Labneh (150g) with cucumber (100g) and 5 whole wheat crackers (30g),40,20,25,4,700,450,2610,327,73,163,25,2500,Meal plan designed for muscle gain with Saudi cuisine while adhering to budget.
P01,2026-W04,Ful Medames (200g) with 1 whole wheat khubz (60g) and 1 boiled egg (50g),85,20,25,15,600,650,"Chicken Shawarma Wrap (150g chicken, 1 whole wheat wrap, 50g garlic sauce, 50g lettuce, 50g tomatoes)",70,35,55,5,800,800,Grilled Lamb Kebabs (150g) with 150g rice and 100g grilled vegetables,90,25,50,5,600,800,"Date and Almond Smoothie (200ml yogurt, 4 dates, 20g almonds)",66,10,36,5,0,407,2657,333,74,166,30,2000,One-Day Meal Plan for Muscle Gain
P01,2026-W05,"Hummus (100g) with 1 whole wheat khubz (60g) and 150g of mixed vegetables (carrots, cucumber, bell peppers)",70,18,14,10,800,520,"Chicken Kabsa (150g chicken, 200g rice, 100g mixed vegetables)",100,30,40,5,700,800,Fattoush Salad (150g) with grilled shrimp (100g) and 1 tablespoon of olive oil,30,35,30,8,600,600,Baklava (50g) with 1 cup of Arabic coffee (240ml),55,25,8,7,300,678,2598,325,72,162,30,2800,One-day meal plan with Saudi dishes.
P01,2026-W06,"Shakshuka (2 eggs, 100g tomatoes, 50g bell peppers, 1 whole wheat khubz)",55,20,22,5,800,500,"Date and Almond Smoothie (200ml yogurt, 4 dates, 20g almonds)",50,15,12,7,100,400,"Chicken Mandi (150g chicken, 200g rice, 100g mixed vegetables)",100,20,40,5,900,750,Grilled Fish (150g) with 150g roasted sweet potatoes and 100g salad,116,17,47,13,300,929,2579,321,72,161,30,2100,One-day meal plan focusing on muscle gain with Saudi cuisine.
P01,2026-W07,"Ful Medames (200g fava beans) with 1 whole wheat khubz (60g), 1 boiled egg (50g), and 1 tablespoon of olive oil (15g)",75,25,30,15,500,650,Labneh (200g) with 1 whole wheat khubz (60g) and 100g of sliced cucumbers,55,20,25,3,600,450,"Beef Kabsa (150g beef, 200g rice, 100g mixed vegetables) with spices",100,30,55,5,800,850,"Date and Nut Energy Balls (4 balls - 40g dates, 20g almonds, 20g walnuts) with Arabic coffee (240ml)",106,15,20,2,100,740,2690,336,75,169,25,2000,One-day meal plan focusing on muscle gain with Saudi cuisine.
